0	57	197	123	151	81	87	165	130	56	87	96	95	345	21	280	46	26	133	23
57	0	8	7	11	4	6	18	28	4	7	8	3	7	0	5	3	1	3	1
197	8	0	75	65	108	34	29	25	7	32	33	119	48	80	44	21	55	18	19
123	7	75	0	123	72	57	31	25	6	50	55	45	31	8	21	45	8	13	48
151	11	65	123	0	47	582	48	46	8	298	230	32	32	7	23	486	7	14	21
81	4	108	72	47	0	23	15	13	3	21	22	46	19	12	15	16	9	8	28
87	6	34	57	582	23	0	29	29	5	391	183	16	18	3	12	95	3	7	10
165	18	29	31	48	15	29	0	75	25	31	38	15	32	3	18	14	3	15	5
130	28	25	25	46	13	29	75	0	10	32	36	12	21	2	14	13	3	9	4
56	4	7	6	8	3	5	25	10	0	5	6	3	10	0	5	2	0	5	1
87	7	32	50	298	21	391	31	32	5	0	342	15	18	3	12	61	3	7	8
96	8	33	55	230	22	183	38	36	6	342	0	17	20	3	13	54	3	8	9
95	3	119	45	32	46	16	15	12	3	15	17	0	28	23	22	10	22	10	9
345	7	48	31	32	19	18	32	21	10	18	20	28	0	5	83	10	7	140	5
21	0	80	8	7	12	3	3	2	0	3	3	23	5	0	5	2	10	2	2
280	5	44	21	23	15	12	18	14	5	12	13	22	83	5	0	7	6	23	4
46	3	21	45	486	16	95	14	13	2	61	54	10	10	2	7	0	2	4	7
26	1	55	8	7	9	3	3	3	0	3	3	22	7	10	6	2	0	2	1
133	3	18	13	14	8	7	15	9	5	7	8	10	140	2	23	4	2	0	2
23	1	19	48	21	28	10	5	4	1	8	9	9	5	2	4	7	1	2	0
